project_name,language,age,stars,contributors_count,submitter_login,merger_login,pull_request_id,files_changed_count,changed_counts,is_merged,pr_comments_count,has_test,is_following,followers_count,is_collaborator,prior_iterations_count
normalizr,JavaScript,83,20320,63,amonks,paularmstrong,253,3,41,1,2,0,1,63,0,0
normalizr,JavaScript,83,20320,63,Mordred,paularmstrong,254,3,9,1,7,1,1,12,0,0
normalizr,JavaScript,83,20320,63,azangru,,252,2,126,0,5,1,0,30,0,0
normalizr,JavaScript,83,20320,63,kevinjhanna,paularmstrong,251,1,2,1,2,0,1,33,0,0
normalizr,JavaScript,83,20320,63,GertjanReynaert,,244,1,31,0,2,1,0,33,0,2
normalizr,JavaScript,83,20320,63,jeffcarbs,paularmstrong,239,10,291,1,14,1,0,20,0,10
normalizr,JavaScript,83,20320,63,andyhite,,238,4,101,0,22,1,0,20,0,2
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,234,4,67,1,2,1,0,649,1,216
normalizr,JavaScript,83,20320,63,maartenschumacher,,229,3,55,0,7,1,0,5,0,0
normalizr,JavaScript,83,20320,63,jeffcarbs,paularmstrong,232,4,47,1,7,1,0,20,0,6
normalizr,JavaScript,83,20320,63,jeffcarbs,paularmstrong,228,16,415,1,13,1,1,20,0,0
normalizr,JavaScript,83,20320,63,donavon,paularmstrong,227,1,20,1,2,0,1,501,0,0
normalizr,JavaScript,83,20320,63,alexandertrefz,paularmstrong,226,3,7,1,5,1,1,12,0,3
normalizr,JavaScript,83,20320,63,maxsbelt,paularmstrong,220,9,157,1,4,1,1,4,0,3
normalizr,JavaScript,83,20320,63,CrOrc,,217,5,118,0,3,1,0,2,0,0
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,214,35,782,1,5,1,0,649,1,189
normalizr,JavaScript,83,20320,63,Amorites,,213,1,2,0,3,0,0,6,0,0
normalizr,JavaScript,83,20320,63,ghost,paularmstrong,211,1,4,1,3,0,1,4442,0,1
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,208,8,123,1,4,1,0,649,1,183
normalizr,JavaScript,83,20320,63,afnpires,paularmstrong,205,2,25,1,7,1,1,25,0,1
normalizr,JavaScript,83,20320,63,zazapeta,paularmstrong,198,1,2,1,2,0,1,18,0,0
normalizr,JavaScript,83,20320,63,nktssh,paularmstrong,197,1,2,1,2,0,1,13,0,2
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,194,76,10941,1,5,1,0,649,1,156
normalizr,JavaScript,83,20320,63,unindented,paularmstrong,192,11,225,1,11,1,1,139,1,54
normalizr,JavaScript,83,20320,63,unindented,,191,1,2,0,3,0,0,139,1,49
normalizr,JavaScript,83,20320,63,tamlyn,,184,1,2,0,2,0,0,49,0,0
normalizr,JavaScript,83,20320,63,zaycker,paularmstrong,183,1,2,1,2,0,1,6,0,1
normalizr,JavaScript,83,20320,63,nhducit,paularmstrong,180,1,4,1,1,0,0,81,0,1
normalizr,JavaScript,83,20320,63,nhducit,paularmstrong,179,1,2,1,1,0,1,81,0,0
normalizr,JavaScript,83,20320,63,akomm,paularmstrong,178,3,204,1,4,0,1,6,0,3
normalizr,JavaScript,83,20320,63,arb,,161,4,77,0,12,1,0,140,0,1
normalizr,JavaScript,83,20320,63,fxck,paularmstrong,159,3,53,1,3,1,1,36,0,8
normalizr,JavaScript,83,20320,63,nabati,,173,3,112,0,4,1,0,17,0,2
normalizr,JavaScript,83,20320,63,yacodes,,158,1,4,0,3,0,0,50,0,0
normalizr,JavaScript,83,20320,63,timhwang21,paularmstrong,155,4,79,1,3,1,1,49,0,1
normalizr,JavaScript,83,20320,63,Kestutis,paularmstrong,145,1,2,1,2,0,1,3,0,1
normalizr,JavaScript,83,20320,63,just-boris,,143,1,1,0,2,0,0,119,0,0
normalizr,JavaScript,83,20320,63,ajwhite,,139,4,87,0,2,1,0,182,0,0
normalizr,JavaScript,83,20320,63,fxck,,132,2,54,0,5,1,0,36,0,4
normalizr,JavaScript,83,20320,63,TryingToImprove,,135,3,255,0,3,1,0,2,0,5
normalizr,JavaScript,83,20320,63,alexaivars,paularmstrong,128,1,8,1,1,0,1,24,0,0
normalizr,JavaScript,83,20320,63,lmuntaner,,118,4,166,0,5,1,0,72,0,1
normalizr,JavaScript,83,20320,63,smashercosmo,,117,4,107,0,6,1,0,26,0,3
normalizr,JavaScript,83,20320,63,jkusachi,paularmstrong,115,1,2,1,2,0,1,17,0,0
normalizr,JavaScript,83,20320,63,wyuenho,,109,1,135,0,2,0,0,177,0,0
normalizr,JavaScript,83,20320,63,paularmstrong,,104,4,205,0,2,1,0,649,1,35
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,100,1,2,1,1,0,0,649,1,26
normalizr,JavaScript,83,20320,63,exciton,,97,8,369,0,5,1,0,2,0,1
normalizr,JavaScript,83,20320,63,unindented,unindented,91,2,10,1,1,1,1,139,1,39
normalizr,JavaScript,83,20320,63,gaearon,gaearon,90,5,354,1,1,1,1,67526,1,109
normalizr,JavaScript,83,20320,63,frankwallis,paularmstrong,89,4,95,1,20,1,1,44,0,2
normalizr,JavaScript,83,20320,63,StevenLangbroek,,86,1,71,0,2,0,0,45,0,2
normalizr,JavaScript,83,20320,63,unindented,,84,5,182,0,19,1,0,139,1,33
normalizr,JavaScript,83,20320,63,paularmstrong,gaearon,82,1,8,1,55,0,1,649,1,8
normalizr,JavaScript,83,20320,63,YoruNoHikage,unindented,80,5,354,1,12,1,1,50,0,3
normalizr,JavaScript,83,20320,63,adjohu,,73,4,84,0,16,1,0,15,0,3
normalizr,JavaScript,83,20320,63,paularmstrong,paularmstrong,72,2,68,1,2,1,0,649,1,1
normalizr,JavaScript,83,20320,63,adjohu,,69,9,370,0,1,1,0,15,0,1
normalizr,JavaScript,83,20320,63,puradox,unindented,63,1,2,1,3,0,1,15,0,0
normalizr,JavaScript,83,20320,63,fredrikolovsson,paularmstrong,60,1,121,1,2,0,1,4,0,0
normalizr,JavaScript,83,20320,63,chabou,paularmstrong,59,1,4,1,1,0,1,75,0,0
normalizr,JavaScript,83,20320,63,gpfunk,paularmstrong,57,1,2,1,1,0,1,9,0,1
normalizr,JavaScript,83,20320,63,xuoe,unindented,56,1,1,1,5,0,1,3,0,0
normalizr,JavaScript,83,20320,63,dlmanning,,53,2,43,0,3,1,0,69,0,0
normalizr,JavaScript,83,20320,63,wbinnssmith,gaearon,52,4,16,1,5,1,1,391,0,0
normalizr,JavaScript,83,20320,63,lukekarrys,gaearon,48,3,36,1,12,1,1,113,0,0
normalizr,JavaScript,83,20320,63,fractaledmind,,46,3,120,0,8,0,0,113,0,0
normalizr,JavaScript,83,20320,63,Purii,,43,1,1,0,5,0,0,49,0,0
normalizr,JavaScript,83,20320,63,eyston,gaearon,42,5,217,1,13,1,1,33,0,0
normalizr,JavaScript,83,20320,63,yoo2001818,gaearon,33,2,28,1,2,1,1,77,0,2
normalizr,JavaScript,83,20320,63,unindented,gaearon,31,1,4,1,1,0,0,139,1,18
normalizr,JavaScript,83,20320,63,unindented,gaearon,29,4,444,1,3,1,0,139,1,15
normalizr,JavaScript,83,20320,63,unindented,gaearon,27,4,292,1,8,1,0,139,1,4
normalizr,JavaScript,83,20320,63,fhelwanger,gaearon,25,1,6,1,1,0,1,34,0,0
normalizr,JavaScript,83,20320,63,sullvn,gaearon,24,3,54,1,5,1,1,25,0,0
normalizr,JavaScript,83,20320,63,sergelerator,,22,6,337,0,4,1,0,38,0,0
normalizr,JavaScript,83,20320,63,dotcs,,20,2,508,0,15,1,0,24,0,1
normalizr,JavaScript,83,20320,63,babsonmatt,gaearon,14,3,78,1,1,1,1,27,0,1
normalizr,JavaScript,83,20320,63,unindented,gaearon,35,3,80,1,3,1,1,139,1,20
normalizr,JavaScript,83,20320,63,evgenyrodionov,gaearon,13,1,55,1,3,0,1,291,0,0
normalizr,JavaScript,83,20320,63,vladkosinov,gaearon,11,6,48,1,7,1,1,20,0,0
normalizr,JavaScript,83,20320,63,maberer,gaearon,4,1,2,1,2,0,1,6,0,3
normalizr,JavaScript,83,20320,63,martintietz,gaearon,2,3,14,1,3,0,1,3,0,0
